,State,year,quarter,January 1,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
176,North Dakota,2020,Jul-Sep,455000,495000,53000,11,57000,33000,7
178,Ohio,2020,Jul-Sep,22000,22000,1900,9,730,2100,10
179,Oklahoma,2020,Jul-Sep,7000,8000,1100,14,150,930,12
180,Oregon,2020,Jul-Sep,102000,124000,12000,10,13000,28000,23
181,Pennsylvania,2020,Jul-Sep,27000,27000,2200,8,2500,1200,4
182,South Carolina,2020,Jul-Sep,12000,13500,1800,13,1200,2200,16
183,South Dakota,2020,Jul-Sep,230000,235000,66000,28,30000,12500,5
184,Tennessee,2020,Jul-Sep,15000,15000,2200,15,460,860,6
185,Texas,2020,Jul-Sep,167000,173000,9500,5,9000,7500,4
186,Utah,2020,Jul-Sep,24000,30000,2000,7,1500,2300,8
187,Vermont,2020,Jul-Sep,7500,7500,210,3,700,180,2
189,Virginia,2020,Jul-Sep,8500,8500,1200,14,910,730,9
190,Washington,2020,Jul-Sep,94000,104000,7000,7,5000,8500,8
191,West Virginia,2020,Jul-Sep,8000,8000,540,7,210,800,10
192,Wisconsin,2020,Jul-Sep,68000,68000,8000,12,970,9000,13
193,Wyoming,2020,Jul-Sep,33000,34000,3600,11,640,7500,22
195,Other States 5/,2020,Jul-Sep,10630,11630,2080,18,2230,700,6
197,United States,2020,Jul-Sep,3175330,(X),411490,13,348280,381620,12
210,State,2020,Oct-Dec,October 1,,,,,,
215,Alabama,2020,Oct-Dec,17000,17000,1100,6,750,60,(Z)
216,Arizona,2020,Oct-Dec,25000,27000,4000,15,5500,600,2
217,Arkansas,2020,Oct-Dec,22000,23000,2100,9,380,780,3
218,California,2020,Oct-Dec,700000,1400000,164000,12,120000,58000,4
219,Colorado,2020,Oct-Dec,19000,19000,5000,26,930,20,(Z)
220,Connecticut,2020,Oct-Dec,4300,4600,500,11,20,20,(Z)
221,Florida,2020,Oct-Dec,240000,290000,29000,10,50000,17500,6
222,Georgia,2020,Oct-Dec,165000,174000,30000,17,11000,11000,6
223,Hawaii,2020,Oct-Dec,22000,22000,2700,12,200,370,2
224,Idaho,2020,Oct-Dec,94000,180000,19000,11,8000,1700,1
226,Illinois,2020,Oct-Dec,13000,13000,1700,13,330,410,3
227,Indiana,2020,Oct-Dec,10000,11000,930,8,240,260,2
228,Iowa,2020,Oct-Dec,38000,38000,4800,13,700,850,2
229,Kansas,2020,Oct-Dec,6000,7000,2400,34,460,170,2
230,Kentucky,2020,Oct-Dec,11500,11500,1100,10,380,520,5
231,Louisiana,2020,Oct-Dec,46000,52000,1700,3,30,620,1
232,Maine,2020,Oct-Dec,9000,9000,100,1,180,250,3
233,Maryland,2020,Oct-Dec,6000,8000,980,12,60,460,6
234,Massachusetts,2020,Oct-Dec,10000,10000,390,4,270,90,1
235,Michigan,2020,Oct-Dec,97000,101000,10500,10,2400,1600,2
237,Minnesota,2020,Oct-Dec,99000,105000,9500,9,1200,340,(Z)
238,Mississippi,2020,Oct-Dec,30000,37000,3800,10,300,30,(Z)
239,Missouri,2020,Oct-Dec,6500,7000,750,11,20,110,2
240,Montana,2020,Oct-Dec,81000,92000,14000,15,3500,290,(Z)
241,Nebraska,2020,Oct-Dec,43000,43000,7000,16,280,2500,6
242,New Jersey,2020,Oct-Dec,18000,18000,310,2,2000,480,3
243,New Mexico,2020,Oct-Dec,2400,3600,190,5,80,50,1
244,New York,2020,Oct-Dec,52000,52000,4100,8,2400,5000,10
245,North Carolina,2020,Oct-Dec,16500,22000,2500,11,200,9000,41
246,North Dakota,2020,Oct-Dec,445000,445000,45000,10,12500,-,-
248,Ohio,2020,Oct-Dec,21000,21000,1600,8,10,490,2
249,Oklahoma,2020,Oct-Dec,7000,28000,300,1,250,-,-
250,Oregon,2020,Oct-Dec,122000,123000,15500,13,7000,2600,2
251,Pennsylvania,2020,Oct-Dec,23000,25000,1900,8,580,440,2
252,South Carolina,2020,Oct-Dec,11500,18500,2600,14,270,210,1
253,South Dakota,2020,Oct-Dec,197000,197000,16000,8,1000,150,(Z)
254,Tennessee,2020,Oct-Dec,13500,13500,680,5,20,640,5
255,Texas,2020,Oct-Dec,144000,255000,43000,17,27000,1700,1
256,Utah,2020,Oct-Dec,29000,29000,3800,13,1800,50,(Z)
257,Vermont,2020,Oct-Dec,8000,8000,270,3,30,-,-
259,Virginia,2020,Oct-Dec,8000,8500,1000,12,70,450,5
260,Washington,2020,Oct-Dec,102000,103000,16500,16,6000,2000,2
261,West Virginia,2020,Oct-Dec,7500,7500,550,7,120,800,11
262,Wisconsin,2020,Oct-Dec,60000,60000,8000,13,2800,4700,8
263,Wyoming,2020,Oct-Dec,23000,25000,1600,6,160,380,2
265,Other States 5/,2020,Oct-Dec,10640,10740,2470,23,80,1300,12
267,United States,2020,Oct-Dec,3135340,(X),484920,15,271500,128990,4
281,State,2021,Jan-Mar,January 1,,,,,,
286,Alabama,2021,Jan-Mar,10000,10000,1200,12,670,200,2
287,Arizona,2021,Jan-Mar,29000,29000,7000,24,3500,180,1
288,Arkansas,2021,Jan-Mar,21000,21000,2200,10,790,130,1
289,California,2021,Jan-Mar,1240000,1550000,193000,12,76000,84000,5
290,Colorado,2021,Jan-Mar,3000,16500,640,4,850,30,(Z)
291,Connecticut,2021,Jan-Mar,4200,4200,780,19,350,50,1
292,Florida,2021,Jan-Mar,300000,305000,31000,10,42000,17000,6
293,Georgia,2021,Jan-Mar,120000,120000,20000,17,34000,14500,12
294,Hawaii,2021,Jan-Mar,19500,19500,900,5,2400,1600,8
295,Idaho,2021,Jan-Mar,168000,171000,15000,9,9000,8500,5
297,Illinois,2021,Jan-Mar,9500,12500,3000,24,3300,200,2
298,Indiana,2021,Jan-Mar,10000,11000,2700,25,3500,20,(Z)
299,Iowa,2021,Jan-Mar,15000,25000,2100,8,3100,30,(Z)
300,Kansas,2021,Jan-Mar,5000,6500,1400,22,2300,10,(Z)
301,Kentucky,2021,Jan-Mar,9500,9500,2100,22,2500,80,1
302,Louisiana,2021,Jan-Mar,51000,53000,7500,14,1100,3000,6
