year,quarter,Starting colonies,Maximum colonies,Lost colonies,Percent lost,Added colonies,Varroa mites,Other pests,Diseases,Pesticides,Other,Unknown,year_and_quarter,state_idx,region_idx,subregion_idx,State_Alabama,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,region_midwest,region_northeast,region_south,region_west,subregion_east north central,subregion_east south central,subregion_mid atlantic,subregion_mountain,subregion_new england,subregion_pacific,subregion_south atlantic,subregion_west north central,subregion_west south central
2015,Q2,24000.0,34000.0,1100.0,3.0,11000.0,-0.2619047619047618,0.4867256637168142,0.7941176470588235,0.15573770491803282,-0.1694915254237288,-0.4125,2015-04-01,27,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2016,Q2,5500.0,6000.0,450.0,8.0,2100.0,0.5238095238095237,2.5752212389380533,-0.029411764705882377,4.090163934426229,1.983050847457627,0.26249999999999996,2016-04-01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2021,Q2,21000.0,21000.0,630.0,3.0,460.0,2.682539682539682,5.15929203539823,0.0,0.0,0.0,0.0,2021-04-01,8,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2018,Q2,134000.0,134000.0,16000.0,12.0,34000.0,1.0833333333333333,1.6460176991150446,3.558823529411764,1.8606557377049184,4.627118644067797,1.7125,2018-04-01,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2021,Q1,300000.0,305000.0,31000.0,10.0,42000.0,0.35714285714285726,0.43362831858407086,1.1176470588235292,0.5163934426229507,0.3389830508474576,0.16249999999999998,2021-01-01,6,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2021,Q2,66000.0,122000.0,2900.0,2.0,9500.0,0.23809523809523808,1.0707964601769915,4.882352941176469,-0.36885245901639346,0.06779661016949158,0.0,2021-04-01,41,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2020,Q3,68000.0,68000.0,8000.0,12.0,970.0,0.6904761904761905,1.3982300884955754,3.2647058823529407,3.713114754098361,1.6101694915254237,4.4125,2020-07-01,43,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2018,Q2,50000.0,176000.0,5500.0,3.0,17000.0,0.718253968253968,1.0176991150442478,4.76470588235294,0.5491803278688524,2.966101694915254,-0.012499999999999956,2018-04-01,23,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2015,Q4,8000.0,8000.0,610.0,8.0,80.0,-0.8968253968253966,-0.053097345132743334,-0.47058823529411764,-0.5327868852459017,-0.2542372881355932,-0.21250000000000002,2015-10-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2015,Q2,11500.0,12500.0,500.0,4.0,1900.0,-0.8174603174603174,-0.07079646017699114,0.38235294117647056,-0.3032786885245902,-0.559322033898305,1.1625,2015-04-01,22,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020,Q3,24000.0,30000.0,2000.0,7.0,1500.0,1.4285714285714284,0.0,0.0,4.614754098360656,-0.10169491525423723,0.2875,2020-07-01,38,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020,Q1,44000.0,48000.0,4800.0,10.0,9000.0,0.03174603174603177,0.0,-0.3235294117647059,-0.36885245901639346,-0.4915254237288135,-0.5375,2020-01-01,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
